,timestamp,symbol,side,price,quantity,buy_price,sell_price,pnl
0,2022-03-16,SPY,buy,406.84465278279936,100,406.84465278279936,,
1,2022-03-23,TSLA,buy,326.80999108488925,100,326.80999108488925,,
2,2022-05-04,AAPL,buy,156.66687500289424,100,156.66687500289424,,
3,2022-05-20,TSLA,sell,238.11567208494236,100,326.80999108488925,238.11567208494236,-8869.431899994688
4,2022-05-25,MSFT,buy,250.996648462478,100,250.996648462478,,
