,timestamp,symbol,side,price,quantity,buy_price,sell_price,pnl
0,2005-03-15,MSFT,buy,17.352684770866677,1161,17.352684770866677,,
1,2005-03-15,AMZN,sell,1.7298645720848609,5851,,1.7298645720848609,
2,2005-03-15,GOOGL,sell,4.577577584208974,2197,,4.577577584208974,
3,2005-03-15,GOOG,sell,4.5561752653935885,2207,,4.5561752653935885,
4,2005-03-15,NVDA,buy,0.19874709519901218,36877,0.19874709519901218,,
5,2005-03-15,BRK-B,sell,60.270129256664724,100,,60.270129256664724,
6,2005-03-15,JPM,buy,21.053811224501924,1435,21.053811224501924,,
7,2005-03-15,UNH,buy,35.38100426974414,285,35.38100426974414,,
8,2005-03-15,JNJ,buy,37.42465817817142,539,37.42465817817142,,
9,2005-03-15,PG,buy,30.007635420835722,672,30.007635420835722,,
10,2005-03-15,HD,buy,23.87560708347635,417,23.87560708347635,,
11,2005-03-15,CRM,buy,3.805688446413332,1688,3.805688446413332,,
12,2005-03-15,WMT,sell,11.324596879881575,535,,11.324596879881575,
13,2005-03-15,DIS,buy,22.459997186989707,440,22.459997186989707,,
14,2005-03-15,NFLX,sell,0.15279052829324213,47777,,0.15279052829324213,
15,2005-03-15,AMD,buy,16.508251918506915,913,16.508251918506915,,
16,2005-03-15,C,sell,302.9397028418072,20,,302.9397028418072,
17,2005-03-15,EA,sell,66.2560581478103,91,,66.2560581478103,
18,2005-03-15,AXP,buy,34.767126209683255,290,34.767126209683255,,
19,2005-03-15,KR,sell,5.64240979116305,1773,,5.64240979116305,
20,2005-03-15,TJX,buy,4.724844764927172,2118,4.724844764927172,,
21,2005-03-16,MSFT,sell,17.159106562793106,1161,17.352684770866677,17.159106562793106,-224.74429957341627
22,2005-03-16,AMZN,buy,1.6948471005352796,6011,1.6948471005352796,1.7298645720848609,204.8872260365998
23,2005-03-16,NVDA,sell,0.1930140551523301,36877,0.19874709519901218,0.1930140551523301,-211.41731780149468
24,2005-03-16,BRK-B,buy,59.429704185972454,107,59.429704185972454,60.270129256664724,84.04250706922696
25,2005-03-16,JPM,sell,20.90387967746406,1435,21.053811224501924,20.90387967746406,-215.15176999933283
