timestamp,equity,cash
2022-01-03,100000.0,100000.0
2022-01-04,100000.0,100000.0
2022-01-05,100000.0,100000.0
2022-01-06,100000.0,100000.0
2022-01-07,100000.0,100000.0
2022-01-10,100000.0,100000.0
2022-01-11,100000.0,100000.0
2022-01-12,100000.0,100000.0
2022-01-13,100000.0,100000.0
2022-01-14,100000.0,100000.0
2022-01-18,100000.0,100000.0
2022-01-19,100000.0,100000.0
2022-01-20,100000.0,100000.0
2022-01-21,100000.0,100000.0
2022-01-24,100000.0,100000.0
2022-01-25,100000.0,100000.0
2022-01-26,100000.0,100000.0
2022-01-27,100000.0,100000.0
2022-01-28,100000.0,100000.0
2022-01-31,100000.0,100000.0
2022-02-01,100000.0,100000.0
2022-02-02,100000.0,100000.0
2022-02-03,100000.0,100000.0
2022-02-04,100000.0,100000.0
2022-02-07,100000.0,100000.0
2022-02-08,100000.0,100000.0
2022-02-09,100000.0,100000.0
2022-02-10,100000.0,100000.0
2022-02-11,100000.0,100000.0
2022-02-14,100000.0,100000.0
2022-02-15,100000.0,100000.0
2022-02-16,100000.0,100000.0
2022-02-17,100000.0,100000.0
2022-02-18,100000.0,100000.0
2022-02-22,100000.0,100000.0
2022-02-23,100000.0,100000.0
2022-02-24,100000.0,100000.0
2022-02-25,100000.0,100000.0
2022-02-28,100000.0,100000.0
2022-03-01,100000.0,100000.0
2022-03-02,100000.0,100000.0
2022-03-03,100000.0,100000.0
2022-03-04,100000.0,100000.0
2022-03-07,100000.0,100000.0
2022-03-08,100000.0,100000.0
2022-03-09,100000.0,100000.0
2022-03-10,100000.0,100000.0
2022-03-11,100000.0,100000.0
2022-03-14,100000.0,100000.0
2022-03-15,100000.0,100000.0
2022-03-16,100521.67791019662,59315.53472172006
2022-03-17,101037.20525394662,59315.53472172006
2022-03-18,101494.16936527475,59315.53472172006
2022-03-21,101481.83416019662,59315.53472172006
2022-03-22,101975.23931156381,59315.53472172006
2022-03-23,102048.52487104364,26634.535613231135
2022-03-24,103176.97335737175,26634.535613231135
2022-03-25,103276.39047162957,26634.535613231135
2022-03-28,106288.59139936394,26634.535613231135
2022-03-29,107081.4045097155,26634.535613231135
2022-03-30,106624.98666303582,26634.535613231135
2022-03-31,105408.76351850457,26634.535613231135
2022-04-01,105763.21298139519,26634.535613231135
2022-04-04,108160.03610151238,26634.535613231135
2022-04-05,105806.21530073113,26634.535613231135
2022-04-06,103861.61386030144,26634.535613231135
2022-04-07,104458.43698041863,26634.535613231135
2022-04-08,103285.57321088738,26634.535613231135
2022-04-11,100907.70150678582,26634.535613231135
2022-04-12,101120.3693534655,26634.535613231135
2022-04-13,102777.35787885613,26634.535613231135
2022-04-14,101007.92428510613,26634.535613231135
2022-04-18,101668.00424116082,26634.535613231135
2022-04-19,103134.17855756707,26634.535613231135
2022-04-20,101404.53073041863,26634.535613231135
2022-04-21,101826.21346967644,26634.535613231135
2022-04-22,100561.34835737175,26634.535613231135
2022-04-25,100561.37887494988,26634.535613231135
2022-04-26,95330.52560346552,26634.535613231135
2022-04-27,95611.19882123894,26634.535613231135
2022-04-28,96477.96823041863,26634.535613231135
2022-04-29,94752.82174604363,26634.535613231135
2022-05-02,96060.80209272332,26634.535613231135
2022-05-03,96451.41793744988,26634.535613231135
2022-05-04,99715.1564625511,10967.84811294171
2022-05-05,94716.32681167219,10967.84811294171
2022-05-06,94300.30050551984,10967.84811294171
2022-05-09,89919.98129165266,10967.84811294171
2022-05-10,90678.89547622297,10967.84811294171
2022-05-11,87089.29434096906,10967.84811294171
2022-05-12,86463.42916762922,10967.84811294171
2022-05-13,89186.67440688703,10967.84811294171
2022-05-16,87370.47720229719,10967.84811294171
2022-05-17,89756.11410415266,10967.84811294171
2022-05-18,85640.65847671125,10967.84811294171
2022-05-19,85059.1292408714,10967.84811294171
2022-05-20,85263.07163247111,34779.41532143595
2022-05-23,86496.92630776408,34779.41532143595
2022-05-24,85939.33353432658,34779.41532143595
2022-05-25,86698.37077548112,9679.750475188146
2022-05-26,88100.42918612565,9679.750475188146
2022-05-27,90333.41563632096,9679.750475188146
2022-05-31,89900.6138174733,9679.750475188146
2022-06-01,89624.37938143815,9679.750475188146
2022-06-02,90819.9482290944,9679.750475188146
2022-06-03,89154.22099520768,9679.750475188146
2022-06-06,89224.04673983659,9679.750475188146
2022-06-07,90215.70628573502,9679.750475188146
2022-06-08,89510.04832675065,9679.750475188146
2022-06-09,87513.38389803971,9679.750475188146
2022-06-10,84720.97972323502,9679.750475188146
2022-06-13,81758.25999667252,9679.750475188146
2022-06-14,81954.18742587174,9679.750475188146
2022-06-15,83428.6884634694,9679.750475188146
2022-06-16,81050.586351653,9679.750475188146
2022-06-17,81533.35460116471,9679.750475188146
2022-06-21,83426.18297030534,9679.750475188146
2022-06-22,83251.03038241471,9679.750475188146
